Source,Destination,Number of Tweets,All Degree of Source,All Degree of Destination,Vi - Out Degree of Source,Vj - In Degree of Destination,Percentage of Incoming at Destination (Total Tweet / Vj),Percentage of Outgoing From Source (Total Tweet / Vi),Tweets Per Population,Cij (All Degrees),Cij
CH,CH,139.0,508.0,508.0,264.0,244.0,56.9672131147541,52.65151515151515,8.105115062312591e-06,0.13681102362204725,0.2736220472440945
US,US,74126.0,160440.0,160440.0,80709.0,79731.0,92.9701120016054,91.84353665638281,0.00011291449506523929,0.23100847668910496,0.4620169533782099
GB,GB,9247.0,24326.0,24326.0,12224.0,12102.0,76.40885803999339,75.64626963350786,6.917844185191743e-05,0.1900641289155636,0.3801282578311272
CA,CA,4698.0,12545.0,12545.0,6120.0,6425.0,73.12062256809338,76.76470588235294,6.249125082583425e-05,0.1872459147070546,0.3744918294141092
PL,PL,91.0,279.0,279.0,127.0,152.0,59.86842105263158,71.65354330708661,1.1982868764095344e-06,0.16308243727598568,0.32616487455197135
ZA,ZA,2317.0,5501.0,5501.0,2716.0,2785.0,83.19569120287254,85.30927835051546,1.9783712872665124e-05,0.21059807307762224,0.4211961461552445
IN,IN,2329.0,5323.0,5323.0,2689.0,2634.0,88.4206529992407,86.61212346597247,8.522283881273399e-07,0.21876761224873192,0.43753522449746385
JP,JP,181.0,503.0,503.0,249.0,254.0,71.25984251968504,72.69076305220884,7.167469168458184e-07,0.17992047713717693,0.35984095427435386
AU,AU,2766.0,7325.0,7325.0,3511.0,3814.0,72.52228631358155,78.78097408145828,5.452544002089235e-05,0.18880546075085325,0.3776109215017065
NO,NO,54.0,220.0,220.0,106.0,114.0,47.368421052631575,50.943396226415096,5.048714485098438e-06,0.12272727272727273,0.24545454545454545
IE,IE,117.0,398.0,398.0,194.0,204.0,57.35294117647059,60.30927835051546,1.1838644736234996e-05,0.14698492462311558,0.29396984924623115
TR,TR,41.0,164.0,164.0,74.0,90.0,45.55555555555556,55.4054054054054,2.4571610452715144e-07,0.125,0.25
FJ,FJ,19.0,43.0,43.0,23.0,20.0,95.0,82.6086956521739,1.0674721024593434e-05,0.22093023255813954,0.4418604651162791
IL,IL,212.0,599.0,599.0,328.0,271.0,78.22878228782287,64.63414634146342,1.1708437807208422e-05,0.17696160267111852,0.35392320534223703
US,RU,11.0,160440.0,79.0,80709.0,33.0,33.33333333333333,0.013629211116480194,2.327485416198551e-08,6.85277132302095e-05,0.00013623640732208763
US,DK,41.0,160440.0,193.0,80709.0,111.0,36.93693693693694,0.05079978688869891,1.227331501484191e-07,0.00025524020593526857,0.0005073001732244493
US,CA,1419.0,160440.0,12545.0,80709.0,6425.0,22.085603112840467,1.758168234025945,3.878863714893293e-06,0.008203023383530364,0.01628526178070558
NG,NG,398.0,998.0,998.0,492.0,506.0,78.65612648221344,80.89430894308943,9.90229081237742e-07,0.19939879759519039,0.39879759519038077
BE,BE,91.0,306.0,306.0,164.0,142.0,64.08450704225352,55.487804878048784,3.96201515927954e-06,0.14869281045751634,0.2973856209150327
US,GB,2147.0,160440.0,24326.0,80709.0,12102.0,17.74086927780532,2.6601742060984526,5.434425933568565e-06,0.011620103265752357,0.02313303379987286
DO,DO,5.0,13.0,13.0,6.0,7.0,71.42857142857143,83.33333333333334,2.327972602183564e-07,0.19230769230769232,0.38461538461538464
FR,GB,31.0,318.0,24326.0,165.0,12102.0,0.2561560072715254,18.787878787878785,2.315259264375512e-07,0.001257912676513553,0.0025271052417053883
CA,US,1133.0,12545.0,160440.0,6120.0,79731.0,1.421028207347205,18.513071895424837,3.097077229721002e-06,0.006549700841113391,0.013197283665886244
HK,HK,228.0,577.0,577.0,287.0,290.0,78.62068965517241,79.44250871080139,1.5185017449449876e-05,0.1975736568457539,0.3951473136915078
NL,NL,213.0,694.0,694.0,304.0,390.0,54.61538461538461,70.06578947368422,6.144402103520194e-06,0.15345821325648415,0.3069164265129683
DK,DK,53.0,193.0,193.0,82.0,111.0,47.74774774774775,64.63414634146342,4.554396943707482e-06,0.13730569948186527,0.27461139896373055
DE,DE,281.0,1019.0,1019.0,523.0,496.0,56.653225806451616,53.72848948374761,1.6900669975035966e-06,0.1378802747791953,0.2757605495583906
ID,ID,37.0,106.0,106.0,43.0,63.0,58.730158730158735,86.04651162790698,6.836013365891577e-08,0.17452830188679244,0.3490566037735849
BE,CA,5.0,306.0,12545.0,164.0,6425.0,0.07782101167315175,3.048780487804878,1.0188836430192807e-07,0.0003890747801727492,0.0007588404917286386
KE,KE,311.0,745.0,745.0,371.0,374.0,83.15508021390374,83.82749326145552,2.9577372819056304e-06,0.2087248322147651,0.4174496644295302
ZA,US,299.0,5501.0,160440.0,2716.0,79731.0,0.3750109744014248,11.008836524300442,7.730137177902668e-07,0.001801845234149487,0.003626572222154839
SE,SE,89.0,330.0,330.0,133.0,197.0,45.17766497461929,66.9172932330827,4.326498793976308e-06,0.13484848484848486,0.2696969696969697
PH,PH,178.0,404.0,404.0,195.0,209.0,85.16746411483254,91.28205128205128,8.23185224583659e-07,0.2202970297029703,0.4405940594059406
PR,PR,13.0,78.0,78.0,37.0,41.0,31.70731707317073,35.13513513513514,2.0352607356872637e-06,0.08333333333333333,0.16666666666666666
NP,NP,36.0,83.0,83.0,40.0,43.0,83.72093023255815,90.0,6.291790157612839e-07,0.21686746987951808,0.43373493975903615
BS,BS,21.0,51.0,51.0,23.0,28.0,75.0,91.30434782608695,2.6958883850858318e-05,0.20588235294117646,0.4117647058823529
DE,ZA,8.0,1019.0,5501.0,523.0,2785.0,0.2872531418312388,1.5296367112810707,5.646086275204826e-08,0.001226993865030675,0.0024183796856106408
DE,GB,38.0,1019.0,24326.0,523.0,12102.0,0.31399768633283753,7.265774378585086,2.5338873424618894e-07,0.0014993095285066088,0.00300990099009901
FI,FI,120.0,263.0,263.0,125.0,138.0,86.95652173913044,96.0,1.0868946947583054e-05,0.22813688212927757,0.45627376425855515
NZ,NZ,200.0,547.0,547.0,250.0,297.0,67.34006734006735,80.0,2.033760423022168e-05,0.18281535648994515,0.3656307129798903
GB,AU,162.0,24326.0,7325.0,12224.0,3814.0,4.247509176717357,1.325261780104712,1.7570744372220732e-06,0.005118321695996967,0.010101010101010102
GB,US,2103.0,24326.0,160440.0,12224.0,79731.0,2.637618993866877,17.203861256544503,5.323054372750206e-06,0.011381964214195253,0.02286988200750367
CN,NZ,1.0,160.0,547.0,90.0,297.0,0.33670033670033667,1.1111111111111112,7.129453769769975e-10,0.0014144271570014145,0.002583979328165375
MX,MX,100.0,520.0,520.0,263.0,257.0,38.91050583657588,38.02281368821293,3.919246927049779e-07,0.09615384615384616,0.19230769230769232
FR,US,66.0,318.0,160440.0,165.0,79731.0,0.08277834217556534,40.0,1.6696205036076325e-07,0.00041055499570783415,0.0008260738960648844
FR,FR,58.0,318.0,318.0,165.0,153.0,37.908496732026144,35.15151515151515,4.32449282236339e-07,0.09119496855345911,0.18238993710691823
CO,CO,34.0,125.0,125.0,50.0,75.0,45.33333333333333,68.0,3.377073520658542e-07,0.136,0.272
AT,AT,36.0,104.0,104.0,52.0,52.0,69.23076923076923,69.23076923076923,2.02769676065304e-06,0.17307692307692307,0.34615384615384615
US,IL,37.0,160440.0,599.0,80709.0,271.0,13.653136531365314,0.04584371011906974,1.0969696796661458e-07,0.00022975800892951397,0.0004569029389972833
ZW,ZW,81.0,195.0,195.0,98.0,97.0,83.50515463917526,82.6530612244898,2.7653605879989632e-06,0.2076923076923077,0.4153846153846154
UA,UA,27.0,82.0,82.0,29.0,53.0,50.943396226415096,93.10344827586206,3.0415574756920415e-07,0.16463414634146342,0.32926829268292684
BG,BG,7.0,17.0,17.0,7.0,10.0,70.0,100.0,5.017373731697517e-07,0.20588235294117646,0.4117647058823529
IQ,IQ,26.0,67.0,67.0,36.0,31.0,83.87096774193549,72.22222222222221,3.307064808778008e-07,0.19402985074626866,0.3880597014925373
ZA,GB,32.0,5501.0,24326.0,2716.0,12102.0,0.26441910428028426,1.1782032400589102,2.5519831999755965e-07,0.0010728534549233916,0.002159535699824538
NA,NA,8.0,25.0,25.0,11.0,14.0,57.14285714285714,72.72727272727273,1.6035084765466842e-06,0.16,0.32
KR,KR,18.0,58.0,58.0,33.0,25.0,72.0,54.54545454545454,1.7405060904369286e-07,0.15517241379310345,0.3103448275862069
MA,MA,4.0,12.0,12.0,5.0,7.0,57.14285714285714,80.0,5.483693428744847e-08,0.16666666666666666,0.3333333333333333
ES,ES,77.0,277.0,277.0,128.0,149.0,51.67785234899329,60.15625,8.178129256543688e-07,0.13898916967509026,0.2779783393501805
BM,BM,23.0,71.0,71.0,33.0,38.0,60.526315789473685,69.6969696969697,0.00017991801996307768,0.1619718309859155,0.323943661971831
US,AU,711.0,160440.0,7325.0,80709.0,3814.0,18.6418458311484,0.8809426458015834,2.0107248272735057e-06,0.004238071111376032,0.008411911550702176
KP,KP,1.0,6.0,6.0,4.0,2.0,50.0,25.0,1.9480903279613963e-08,0.08333333333333333,0.16666666666666666
PK,PK,41.0,120.0,120.0,53.0,67.0,61.19402985074627,77.35849056603774,9.465966291056817e-08,0.17083333333333334,0.3416666666666667
US,IN,237.0,160440.0,5323.0,80709.0,2634.0,8.997722095671982,0.29364754860052783,1.3985128628459548e-07,0.0014297521159728046,0.0028436701342644255
AU,US,514.0,7325.0,160440.0,3511.0,79731.0,0.6446676951248573,14.639703788094561,1.4536041648643908e-06,0.003063809495425148,0.006174767545229572
IN,CA,13.0,5323.0,12545.0,2689.0,6425.0,0.20233463035019456,0.4834510970621049,9.259212989573836e-09,0.0007275576449518692,0.0014263770024138687
EE,EE,3.0,10.0,10.0,5.0,5.0,60.0,60.0,1.130718609366873e-06,0.15,0.3
AU,GB,92.0,7325.0,24326.0,3511.0,12102.0,0.7602049248058173,2.6203360865850187,9.978447421261157e-07,0.0029067012100723517,0.0058925254595529365
TH,TH,9.0,34.0,34.0,19.0,15.0,60.0,47.368421052631575,6.463141665372362e-08,0.1323529411764706,0.2647058823529412
IT,IT,71.0,337.0,337.0,170.0,167.0,42.51497005988024,41.76470588235294,5.887484759706705e-07,0.10534124629080119,0.21068249258160238
US,ZA,311.0,160440.0,5501.0,80709.0,2785.0,11.166965888689408,0.3853349688386673,8.040376797082707e-07,0.0018741600930451184,0.0037248185498359163
IN,ZA,6.0,5323.0,5501.0,2689.0,2785.0,0.21543985637342908,0.2231312755671253,4.210597160194746e-09,0.0005543237250554324,0.0010960906101571063
AE,US,5.0,29.0,160440.0,13.0,79731.0,0.00627108652845192,38.46153846153847,1.4792459485790677e-08,3.115866615981903e-05,6.270064205457463e-05
IN,US,248.0,5323.0,160440.0,2689.0,79731.0,0.3110458918112152,9.222759390107846,1.4634227425561045e-07,0.001496111918823863,0.00300897840330017
HR,HR,7.0,22.0,22.0,11.0,11.0,63.63636363636363,63.63636363636363,8.60479409956976e-07,0.1590909090909091,0.3181818181818182
CA,GB,131.0,12545.0,24326.0,6120.0,12102.0,1.0824657081474136,2.1405228758169934,1.2545048815418443e-06,0.003552927775216295,0.0071891120623422235
BD,BD,12.0,36.0,36.0,16.0,20.0,60.0,75.0,3.6799394497856344e-08,0.16666666666666666,0.3333333333333333
CG,CG,17.0,57.0,57.0,40.0,17.0,100.0,42.5,1.579776482071953e-06,0.14912280701754385,0.2982456140350877
